team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Monaco,5,12.0,3.0,3,9.0,1.0,3.0,2.0,2
Lens,5,12.0,5.0,3,6.0,4.0,6.0,1.0,2
Paris SG,5,12.0,4.0,2,8.0,0.0,4.0,4.0,3
Lorient,5,9.0,8.0,3,6.0,3.0,3.0,5.0,2
Strasbourg,5,8.0,8.0,3,5.0,4.0,3.0,4.0,2
Rennes,5,8.0,8.0,2,4.0,1.0,4.0,7.0,3
Brest,5,8.0,3.0,2,4.0,0.0,4.0,3.0,3
Lyon,5,7.0,6.0,2,3.0,0.0,4.0,6.0,3
Marseille,5,7.0,13.0,2,5.0,4.0,2.0,9.0,3
Auxerre,5,5.0,6.0,2,0.0,3.0,5.0,3.0,3
Nice,5,5.0,8.0,3,5.0,5.0,0.0,3.0,2
Paris FC,5,4.0,8.0,3,3.0,7.0,1.0,1.0,2
Le Havre,5,4.0,6.0,3,4.0,3.0,0.0,3.0,2
Nantes,5,4.0,7.0,2,2.0,1.0,2.0,6.0,3
Lille,5,3.0,2.0,2,2.0,1.0,1.0,1.0,3
Angers,5,2.0,5.0,3,2.0,1.0,0.0,4.0,2
Toulouse,5,2.0,5.0,2,1.0,1.0,1.0,4.0,3
Metz,5,1.0,8.0,3,1.0,4.0,0.0,4.0,2
